diamond  17 站点信息2416站  2416
52853  3654  10059 3011.0  32 1 海晏
52854  3635  10029 0.0  32 1 青海湖151
52855  3641  10115 2676.8  32 1 湟源
52856  3616  10037 2836.0  16 1 共和
52862  3657  10141 2451.8  32 1 大通
52863  3649  10157 2480.8  32 1 互助
52866  3644  10145 2296.2  4 1 西宁
52868  3602  10126 2238.1  16 1 贵德
52869  3630  10135 2665.1  32 1 湟中
52874  3629  10224 1981.9  32 1 乐都
52875  3630  10206 2129.5  32 1 平安
52876  3620  10250 1814.8  16 1 民和
52877  3606  10215 2835.7  32 1 化隆
52881  3659  10311 2485.3  1 1 天祝
52884  3621  10357 1670.1  32 1 皋兰
52885  3645  10315 2119.2  32 1 永登
52889  3603  10353 1518.3  1 1 兰州
52895  3634  10441 1399.5  16 1 靖远
52896  3633  10409 1739.6  32 1 白银
52908  3513  9305 4614.2  16 1 五道梁
52941  3616  10016 0.0  32 1 沙珠玉
52943  3535  9959 3324.0  16 1 兴海
52955  3535  10044 3119.3  32 1 贵南
52957  3515  10036 3149.1  4 1 同德
52963  3556  10201 2086.5  32 1 尖扎
52968  3502  10128 3663.8  32 1 泽库
52972  3551  10228 1870.2  32 1 循化
52974  3531  10201 2492.2  16 1 同仁
52978  3512  10231 2930.6  32 1 夏河
52980  3558  10318 1649.2  32 1 永靖
52981  3540  10323 2429.2  32 1 东乡
52982  3529  10333 1954.4  32 1 广河
52983  3552  10409 1875.5  32 1 榆中
52984  3535  10311 1918.5  16 1 临夏
52985  3525  10320 2164.2  32 1 和政
52986  3522  10352 1894.8  16 1 临洮
52988  3522  10343 2000.6  32 1 康乐
52993  3541  10404 1740.2  32 1 会宁
52995  3535  10437 1898.1  32 1 安定
52996  3523  10501 2450.0  4 1 华家岭
52998  3508  10412 2111.5  32 1 渭源
53068  4339  11158 966.4  2 1 二连浩特
53083  4437  11409 1182.9  4 1 那仁宝力格
53149  4232  11008 1226.7  4 1 满都拉气象站
53192  4401  11457 1127.9  4 1 阿巴嘎旗
53195  4352  11338 1038.0  16 1 苏尼特左旗
53231  4124  10624 1510.6  4 1 海力素
53272  4245  11238 1106.6  32 1 苏尼特右旗
53276  4224  11254 1151.9  4 1 朱日和
53289  4214  11350 1322.8  32 1 镶黄旗
53324  4104  10703 1039.7  32 1 乌拉特后旗
53336  4134  10831 1289.4  2 1 乌拉特中旗
53337  4106  10816 1025.1  32 1 五原
53343  4146  10958 1612.8  32 1 白云鄂博气象局
53348  4101  10908 1080.3  32 1 大佘太
53352  4142  11026 1376.0  4 1 达茂旗气象局
53357  4202  11003 1361.4  32 1 固阳县气象局
53362  4132  11141 1491.4  16 1 四子王
53367  4119  11114 1604.0  32 1 希拉穆仁气侯站
53368  4105  11128 1640.2  32 1 武川县
53378  4117  11237 1737.9  32 1 察右中旗
53384  4127  11311 1424.5  32 1 察右后旗
53385  4134  11333 1387.5  32 1 商都
53391  4154  11400 1484.6  2 1 化德
53392  4151  11436 1424.7  32 1 康保
53397  4106  11359 1377.7  32 1 尚义
53399  4109  11442 1394.2  32 1 张北
53419  4020  10700 1060.4  32 1 磴口
53420  4051  10707 1024.9  32 1 杭锦后旗
53433  4044  10839 1022.0  32 1 乌拉特前旗
53446  4040  10951 1068.2  32 1 包头市
53455  4033  11032 1000.9  32 1 土右旗气象局
53457  4024  11002 1012.2  32 1 达拉特旗
53463  4049  11141 1065.0  2 1 呼和浩特
53464  4043  11110 1047.5  32 1 土默特左旗
53466  4045  11142 1046.6  32 1 呼和浩特郊区站
53467  4016  11111 1017.5  32 1 托克托县
53469  4024  11149 1164.0  32 1 和林格尔县
53472  4052  11234 1453.2  32 1 卓资
53475  4031  11228 1272.2  32 1 凉城
53478  4000  11227 1347.6  16 1 右玉
53480  4102  11304 1421.5  4 1 集宁
53481  4048  11313 1317.1  32 1 察右前旗
53483  4052  11350 1269.6  32 1 兴和
53484  4027  11309 1192.5  32 1 丰镇
53486  4022  11346 1050.8  32 1 阳高
53487  4006  11320 1069.7  4 1 大同
53488  4002  11335 1035.4  32 1 大同县
53490  4026  11403 1016.2  32 1 天镇
53491  4040  11423 837.1  32 1 怀安
53492  4006  11409 939.7  32 1 阳原
53498  4034  11502 630.1  32 1 宣化
53499  4046  11444 755.5  32 1 万全
53502  3947  10545 1033.0  4 1 吉兰太
53505  3753  10524 1382.6  32 1 孪井滩
53512  3948  10648 1105.8  32 1 乌海
53513  4044  10722 1042.3  1 1 临河
53517  3916  10620 1466.4  32 1 石炭井
53518  3902  10621 1118.7  32 1 石嘴山
53519  3913  10646 1093.1  16 1 惠农
53522  4003  10750 1180.3  32 1 伊克乌素
53529  3906  10759 1381.3  4 1 鄂托克旗
53533  3951  10844 1390.3  32 1 杭锦旗
53543  3950  10959 1462.8  4 1 东胜
53545  3934  10944 1330.3  32 1 伊金霍洛旗
53547  3906  10902 1312.9  32 1 乌审召
53553  3952  11113 1222.9  32 1 准格尔旗
53562  3955  11140 1192.2  32 1 清水河县
53564  3923  11109 862.1  4 1 河曲
53565  3926  11130 1050.8  32 1 偏关
53567  3902  11105 980.9  32 1 府谷
53573  4000  11242 1337.7  32 1 左云
53574  3931  11216 1408.6  32 1 平鲁
53575  3906  11212 1526.2  32 1 神池
53576  3930  11249 1046.5  32 1 山阴
53577  3900  11218 1441.1  32 1 宁武
53578  3922  11226 1116.4  32 1 朔州
53579  3901  11254 861.3  32 1 代县
53580  3949  11306 1045.7  32 1 怀仁
53582  3943  11341 1094.0  32 1 浑源
53584  3934  11310 1001.9  32 1 应县
53585  3910  11316 934.2  32 1 繁峙
53588  3857  11331 2209.9  4 1 五台山
53590  3945  11416 979.4  32 1 广灵
53593  3950  11434 910.6  16 1 蔚县
53594  3927  11411 940.9  32 1 灵丘
53596  3851  11508 53.4  32 1 顺平
53599  3922  11441 885.6  32 1 涞源
53602  3850  10540 1562.8  16 1 阿拉善左旗
53603  3850  10622 1096.3  6 1 沙湖
53610  3834  10621 1106.7  32 1 贺兰
53611  3853  10633 1099.7  32 1 平罗
53612  3759  10611 1132.2  32 1 吴忠
53614  3828  10612 1110.5  2 1 银川
53615  3848  10642 1102.9  16 1 陶乐
53617  3802  10605 1119.2  32 1 青铜峡
53618  3817  10615 1115.5  32 1 永宁
53619  3807  10618 1117.3  32 1 灵武
53644  3836  10850 1309.3  32 1 乌审旗
53646  3816  10947 1157.8  2 1 榆林
53651  3849  11026 941.1  32 1 神木
53658  3802  11029 895.4  32 1 佳县
53659  3758  11100 1164.1  32 1 临县
53660  3901  11105 893.5  32 1 保德
53662  3843  11135 1393.7  32 1 岢岚
53663  3855  11149 1402.5  32 1 五寨
53664  3828  11108 1013.6  16 1 兴县
53665  3817  11139 1183.7  32 1 岚县
53666  3821  11156 1213.4  32 1 静乐
53669  3805  11148 1151.5  32 1 娄烦
53673  3844  11243 827.2  16 1 原平
53674  3825  11242 799.0  32 1 忻州
53676  3830  11259 760.9  32 1 定襄
53677  3756  11229 808.0  32 1 太原北郊
53678  3804  11240 899.8  32 1 阳曲
53679  3744  11233 776.6  32 1 太原南郊
53680  3818  11423 109.6  32 1 灵寿
53681  3850  11322 1097.1  32 1 五台县豆村
53682  3838  11441 105.3  32 1 曲阳
53685  3804  11325 953.8  32 1 盂县
53687  3747  11338 752.8  32 1 平定
53688  3827  11433 98.1  32 1 行唐
53689  3801  11504 43.8  32 1 晋州
53690  3851  11411 283.4  32 1 阜平
53691  3809  11434 76.0  32 1 正定
53692  3844  11459 68.0  32 1 唐县
53693  3802  11408 256.2  32 1 井陉
53694  3816  11413 134.9  32 1 平山
53695  3821  11441 72.0  32 1 新乐
53696  3831  11500 55.9  32 1 定州
53697  3802  11450 54.9  32 1 藁城
53698  3802  11425 81.8  4 1 石家庄
53699  3811  11457 46.8  32 1 无极
53704  3732  10511 1226.6  32 1 中卫
53705  3729  10541 1184.4  4 1 中宁
53707  3656  10515 1699.0  32 1 兴仁
53723  3748  10723 1350.4  4 1 盐池
53725  3735  10735 1361.2  32 1 定边
53727  3710  10707 1713.5  32 1 麻黄山
53730  3811  10729 1335.0  32 1 鄂托克前旗
53732  3751  10843 1211.5  32 1 河南
53735  3737  10848 1341.6  32 1 靖边
53738  3655  10810 1331.1  16 1 吴旗
53740  3756  10914 1107.5  16 1 横山
53748  3711  10942 1064.4  32 1 子长
53750  3746  11011 931.6  32 1 米脂
53751  3736  11003 897.2  32 1 子洲
53753  3726  11053 861.0  32 1 柳林
53754  3730  11013 928.5  16 1 绥德
53756  3731  11043 744.4  32 1 吴堡
53757  3707  11007 938.8  32 1 清涧
53759  3659  11050 1106.8  32 1 石楼
53760  3753  11114 1212.0  32 1 方山
53763  3755  11210 1008.0  32 1 太原古交区
53764  3730  11106 951.2  16 1 离石
53767  3720  11110 1212.2  32 1 中阳
53768  3709  11145 770.9  32 1 孝义
53769  3715  11147 749.1  32 1 汾阳
53770  3721  11221 769.9  32 1 祁县
53771  3725  11203 751.4  32 1 文水
53772  3747  11233 779.5  2 1 太原
53773  3620  11437 66.0  32 1 临漳
53774  3737  11220 774.6  32 1 清徐
53775  3726  11232 782.6  32 1 太谷
53776  3741  11246 831.5  32 1 榆次
53777  3732  11209 760.2  32 1 交城
53778  3710  11213 780.9  32 1 平遥
53780  3754  11309 1066.6  32 1 寿阳
53781  3652  11428 69.4  32 1 沙河
53782  3751  11333 743.0  16 1 阳泉
53783  3736  11342 880.3  32 1 昔阳
53784  3745  11447 39.8  32 1 赵县
53785  3731  11440 35.7  32 1 柏乡
53786  3705  11322 1134.4  32 1 左权
53787  3704  11259 1042.2  16 1 榆社
53788  3720  11334 1267.0  32 1 和顺
53789  3753  11438 57.4  32 1 栾城
53790  3736  11437 50.1  32 1 高邑
53791  3746  11431 67.1  32 1 元氏
53792  3727  11429 113.6  32 1 临城
53794  3721  11445 34.1  32 1 隆尧
53795  3739  11422 137.8  32 1 赞皇
53796  3737  11453 31.4  32 1 宁晋
53797  3717  11431 74.8  32 1 内邱
53798  3704  11430 77.1  16 1 邢台
53799  3714  11459 25.9  32 1 巨鹿
53806  3634  10539 1854.8  32 1 海原
53810  3658  10554 1340.7  16 1 同心
53817  3600  10616 1752.8  16 1 固原
53821  3634  10718 1256.0  16 1 环县
53829  3559  10754 1094.9  32 1 庆城
53832  3646  10846 1220.0  32 1 志丹
53841  3653  10919 1069.1  32 1 安塞
53845  3636  10930 959.7  2 1 延安
53848  3616  10921 1005.4  32 1 甘泉
53850  3653  11011 801.3  32 1 延川
53852  3646  11038 917.5  32 1 永和
53853  3642  11057 1054.1  16 1 隰县
53854  3635  11004 805.5  32 1 延长
53856  3628  11045 756.5  32 1 大宁
53857  3604  11011 840.9  32 1 宜川
53859  3606  11040 852.5  32 1 吉县
53860  3659  11110 1407.2  32 1 交口
53861  3553  11125 425.5  32 1 襄汾
53862  3650  11146 809.7  32 1 灵石
53863  3702  11155 745.7  4 1 介休
53864  3624  11106 1030.5  32 1 蒲县
53865  3639  11133 1012.5  32 1 汾西
53866  3614  11140 464.1  32 1 洪洞
53868  3604  11130 450.3  32 1 临汾
53869  3635  11142 550.5  32 1 霍州
53871  3650  11251 965.8  32 1 武乡
53872  3646  11241 962.4  32 1 沁县
53873  3607  11252 951.1  32 1 长子
53874  3615  11154 650.0  32 1 古县
53875  3631  11221 1001.6  32 1 沁源
53877  3610  11215 862.1  32 1 安泽
53878  3631  11323 769.6  32 1 黎城
53879  3619  11253 953.2  32 1 屯留
53880  3620  11314 948.7  32 1 潞城
53881  3717  10629 1382.9  32 1 韦州
53882  3603  11304 991.4  32 1 长治
53883  3708  11442 36.8  32 1 任县
53884  3631  11302 879.4  32 1 襄垣
53885  3608  11312 1031.0  32 1 壶关
53886  3634  11340 471.5  32 1 涉县
53888  3612  11326 1088.6  32 1 平顺
53889  3604  11349 308.6  32 1 林州
53890  3641  11409 234.7  32 1 武安
53891  3701  11441 44.4  32 1 南和
53892  3637  11428 67.8  32 1 邯郸
53893  3646  11457 40.7  32 1 曲周
53894  3625  11413 128.2  32 1 峰峰
53895  3647  11430 61.2  32 1 永年
53896  3621  11457 51.8  32 1 魏县
53897  3623  11423 71.2  32 1 磁县
53898  3603  11424 63.5  2 1 安阳
53899  3629  11458 49.9  32 1 广平
53903  3558  10543 1917.9  16 1 西吉
53906  3531  10543 1659.2  32 1 静宁
53908  3513  10514 1769.8  32 1 通渭
53910  3540  10612 2839.1  32 1 六盘山
53914  3537  10607 2079.5  32 1 隆德
53915  3533  10640 1348.2  2 1 崆峒
53916  3530  10619 1949.1  32 1 泾源
53917  3513  10604 1633.4  32 1 庄浪
53923  3544  10738 1421.9  4 1 西峰
53924  3504  10737 967.2  32 1 灵台
53925  3541  10711 1174.4  32 1 镇原
53926  3521  10721 1630.1  32 1 泾川
53927  3512  10637 1478.2  32 1 华亭
53928  3518  10701 1150.3  32 1 崇信
53929  3512  10748 1206.8  16 1 长武
53930  3627  10759 1270.5  32 1 华池
53931  3600  10922 983.9  32 1 富县
53934  3549  10801 1299.9  32 1 合水
53935  3529  10821 1443.4  32 1 正宁
53937  3531  10755 980.6  32 1 宁县
53938  3510  10818 1277.9  32 1 旬邑
53941  3511  10935 807.1  32 1 白水
53942  3549  10930 1159.1  16 1 洛川
53944  3534  10915 857.3  32 1 黄陵
53945  3526  10904 1394.4  32 1 宜君
53946  3536  10949 1091.0  32 1 黄龙
53947  3505  10904 979.7  4 1 铜川
53948  3457  10935 499.9  32 1 蒲城
53949  3511  10955 680.4  32 1 澄城
53950  3514  11009 710.8  32 1 合阳
53953  3558  11051 966.0  32 1 乡宁
53954  3537  11058 433.5  32 1 稷山
53955  3528  11027 459.1  32 1 韩城
53956  3524  11050 589.6  32 1 万荣
53957  3537  11043 459.7  32 1 河津
53958  3508  11047 389.5  32 1 临猗
53959  3503  11103 365.9  4 1 运城
53961  3539  11129 473.3  32 1 曲沃
53962  3544  11142 585.3  32 1 翼城
53963  3539  11122 435.4  32 1 侯马
53964  3537  11113 431.8  32 1 新绛
53965  3531  11134 761.9  32 1 绛县
53966  3559  11150 818.1  32 1 浮山
53967  3520  11112 469.8  32 1 闻喜
53968  3517  11140 506.2  32 1 垣曲
53970  3542  11212 887.1  32 1 沁水
53972  3507  11255 121.0  32 1 沁阳
53973  3546  11257 836.6  32 1 高平
53974  3537  11411 73.5  32 1 淇县
53975  3529  11224 658.7  8 1 阳城
53976  3530  11252 751.5  32 1 晋城
53978  3505  11238 140.7  32 1 济源
53979  3509  11305 121.1  32 1 博爱
53980  3633  11448 51.7  32 1 肥乡
53981  3547  11316 1311.2  32 1 陵川
53982  3514  11316 113.5  32 1 焦作
53983  3502  11425 70.8  32 1 封丘
53984  3514  11328 83.3  32 1 修武
53985  3527  11349 97.9  32 1 辉县
53986  3519  11353 74.0  32 1 新乡
53987  3506  11325 91.8  32 1 武陟
53988  3516  11340 78.4  32 1 获嘉
53989  3503  11357 77.7  32 1 原阳
53991  3556  11421 75.3  32 1 汤阴
53992  3539  11431 59.2  32 1 浚县
53993  3556  11455 52.4  32 1 内黄
53994  3523  11404 71.2  32 1 卫辉
53995  3533  11430 64.0  32 1 滑县
53996  3627  11439 58.9  32 1 成安
53997  3509  11411 72.3  32 1 延津
53998  3512  11439 62.5  32 1 长垣
54012  4435  11736 1002.6  4 1 西乌珠穆沁
54024  4427  11918 710.0  32 1 富河
54026  4434  12054 265.8  4 1 扎鲁特
54027  4359  11924 486.9  2 1 巴林左旗
54031  4454  12149 201.1  32 1 高力板
54039  4402  12201 182.7  32 1 舍伯吐
54041  4448  12304 150.7  16 1 通榆
54047  4408  12317 146.1  32 1 科左中旗
54049  4415  12358 190.4  16 1 长岭
54063  4458  12600 197.7  16 1 扶余
54064  4423  12509 171.3  32 1 农安
54065  4432  12539 173.4  32 1 德惠
54069  4410  12548 175.6  32 1 九台
54072  4451  12631 203.3  32 1 榆树
54076  4425  12656 254.5  32 1 舒兰
54080  4454  12709 196.5  32 1 五常
54092  4436  12924 294.8  32 1 海林
54093  4456  13033 266.7  32 1 穆棱
54094  4434  12936 242.5  4 1 牡丹江
54096  4424  13110 569.8  4 1 绥芬河
54098  4420  12928 272.4  32 1 宁安
54099  4405  13108 151.3  32 1 东宁
54102  4357  11607 1003.8  1 1 锡林浩特
